,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,France,Germany,Spain
58,511,False,66,4,0.0,1,1,0,1643.11,1,False,False,True
59,614,True,51,4,40685.92,1,1,1,46775.28,0,True,False,False
60,742,True,35,5,136857.0,1,0,0,84509.57,0,False,True,False
61,687,False,27,9,152328.88,2,0,0,126494.82,0,False,True,False
62,555,True,33,1,56084.69,2,0,0,178798.13,0,False,False,True
63,684,True,56,8,78707.16,1,1,1,99398.36,0,False,False,True
64,603,True,26,4,109166.37,1,1,1,92840.67,0,False,True,False
65,751,False,36,6,169831.46,2,1,1,27758.36,0,False,True,False
66,581,False,34,1,101633.04,1,1,0,110431.51,0,False,True,False
67,735,True,43,10,123180.01,2,1,1,196673.28,0,False,True,False
68,661,False,35,5,150725.53,2,0,1,113656.85,0,False,True,False
69,675,False,21,8,98373.26,1,1,0,18203.0,0,True,False,False
70,738,True,58,2,133745.44,4,1,0,28373.86,1,False,True,False
71,813,True,29,6,0.0,1,1,0,33953.87,0,True,False,False
72,657,False,37,0,163607.18,1,0,1,44203.55,0,False,False,True
73,604,False,25,5,157780.84,2,1,1,58426.81,0,False,True,False
74,519,True,36,9,0.0,2,0,1,145562.4,0,True,False,False
75,735,False,21,1,178718.19,2,1,0,22388.0,0,True,False,False
76,664,True,55,8,0.0,2,1,1,139161.64,0,True,False,False
77,678,False,32,9,0.0,1,1,1,148210.64,0,True,False,False
78,757,True,33,5,77253.22,1,0,1,194239.63,0,False,False,True
79,416,False,41,10,122189.66,2,1,0,98301.61,0,False,True,False
80,665,False,34,1,96645.54,2,0,0,171413.66,0,True,False,False
81,777,False,32,2,0.0,1,1,0,136458.19,1,True,False,False
82,543,False,36,3,0.0,2,0,0,26019.59,0,True,False,False
83,506,False,34,4,90307.62,1,1,1,159235.29,0,True,False,False
84,493,False,46,4,0.0,2,1,0,1907.66,0,True,False,False
85,652,False,75,10,0.0,2,1,1,114675.75,0,False,False,True
86,750,True,22,3,121681.82,1,1,0,128643.35,1,False,False,True
87,729,True,30,9,0.0,2,1,0,151869.35,0,True,False,False
88,646,False,46,4,0.0,3,1,0,93251.42,1,True,False,False
89,635,False,28,3,81623.67,2,1,1,156791.36,0,False,True,False
90,647,False,44,5,0.0,3,1,1,174205.22,1,False,False,True
91,808,True,45,7,118626.55,2,1,0,147132.46,0,True,False,False
92,524,False,36,10,0.0,2,1,0,109614.57,0,True,False,False
93,769,True,29,8,0.0,2,1,1,172290.61,0,True,False,False
94,730,True,42,4,0.0,2,0,1,85982.47,0,False,False,True
95,515,True,35,10,176273.95,1,0,1,121277.78,0,False,False,True
96,773,True,41,9,102827.44,1,0,1,64595.25,0,False,False,True
97,814,True,29,8,97086.4,2,1,1,197276.13,0,False,True,False
98,710,True,22,8,0.0,2,0,0,99645.04,0,False,False,True
99,413,True,34,9,0.0,2,0,0,6534.18,0,True,False,False
100,665,False,40,6,0.0,1,1,1,161848.03,0,True,False,False
101,623,False,44,6,0.0,2,0,0,167162.43,0,True,False,False
102,738,True,31,9,82674.15,1,1,0,41970.72,0,True,False,False
103,528,True,36,7,0.0,2,1,0,60536.56,0,False,False,True
104,670,False,65,1,0.0,1,1,1,177655.68,1,False,False,True
105,622,False,46,4,107073.27,2,1,1,30984.59,1,False,False,True
106,582,True,32,1,88938.62,1,1,1,10054.53,0,False,True,False
107,785,False,36,2,99806.85,1,0,1,36976.52,0,False,True,False
108,605,True,33,5,150092.8,1,0,0,71862.79,0,False,False,True
109,479,True,35,9,92833.89,1,1,0,99449.86,1,False,True,False
110,685,True,30,3,90536.81,1,0,1,63082.88,0,False,True,False
111,538,True,39,7,108055.1,2,1,0,27231.26,0,False,True,False
112,562,True,42,2,100238.35,1,0,0,86797.41,0,True,False,False
113,675,True,36,9,106190.55,1,0,1,22994.32,0,False,False,True
114,721,True,28,9,154475.54,2,0,1,101300.94,1,False,True,False
115,628,False,30,9,132351.29,2,1,1,74169.13,0,False,True,False
116,668,False,37,6,167864.4,1,1,0,115638.29,0,False,True,False
117,506,False,41,1,0.0,2,1,0,31766.3,0,True,False,False
118,524,False,31,8,107818.63,1,1,0,199725.39,1,False,True,False
119,699,True,34,4,185173.81,2,1,0,120834.48,0,False,True,False
120,828,True,34,8,129433.34,2,0,0,38131.77,0,True,False,False
121,674,True,39,6,120193.42,1,0,0,100130.95,0,False,False,True
122,656,False,39,6,0.0,2,1,0,141069.88,0,True,False,False
123,684,False,48,10,126384.42,1,1,1,198129.36,0,False,True,False
124,625,False,28,3,0.0,1,0,0,183646.41,0,True,False,False
125,432,True,42,9,152603.45,1,1,0,110265.24,1,True,False,False
126,549,False,52,1,0.0,1,0,1,8636.05,1,True,False,False
127,625,True,56,0,148507.24,1,1,0,46824.08,1,False,True,False
128,828,False,41,7,0.0,2,1,0,171378.77,0,True,False,False
129,770,True,24,9,101827.07,1,1,0,167256.35,0,True,False,False
130,758,False,34,3,0.0,2,1,1,124226.16,0,True,False,False
131,795,False,33,9,130862.43,1,1,1,114935.21,0,False,True,False
132,687,True,38,9,122570.87,1,1,1,35608.88,0,True,False,False
133,686,True,25,1,0.0,2,0,1,16459.37,0,True,False,False
134,789,True,39,7,124828.46,2,1,1,124411.08,0,False,True,False
135,589,False,50,5,144895.05,2,1,1,34941.23,0,False,True,False
136,461,False,34,5,63663.93,1,0,1,167784.28,0,False,True,False
137,637,True,40,2,133463.1,1,0,1,93165.34,0,True,False,False
138,584,False,48,2,213146.2,1,1,0,75161.25,1,False,False,True
139,579,False,35,1,129490.36,2,0,1,8590.83,1,False,False,True
140,756,True,44,10,137452.09,1,1,0,189543.9,0,False,True,False
141,663,True,34,7,0.0,2,1,1,180427.24,0,True,False,False
142,682,False,43,5,125851.93,1,1,1,193318.33,0,True,False,False
143,793,True,52,2,0.0,1,1,0,159123.82,1,False,False,True
144,691,False,31,5,40915.55,1,1,0,126213.84,1,True,False,False
145,485,False,21,5,113157.22,1,1,1,54141.5,0,False,False,True
146,635,False,29,8,138296.94,2,1,0,141075.51,0,False,False,True
147,650,True,37,5,106967.18,1,0,0,24495.03,0,True,False,False
148,735,True,44,9,120681.63,1,1,0,74836.34,0,True,False,False
149,416,True,32,0,0.0,2,0,1,878.87,0,True,False,False
150,754,False,32,7,0.0,2,1,0,89520.75,0,False,False,True
151,535,False,48,9,0.0,1,1,0,149892.79,1,True,False,False
152,716,True,42,8,0.0,2,1,0,180800.42,0,False,False,True
153,539,True,37,2,127609.59,1,1,0,98646.22,0,True,False,False
154,614,False,43,6,0.0,2,1,1,109041.53,0,True,False,False
155,706,True,57,7,0.0,1,1,0,17941.16,1,False,False,True
156,758,False,33,7,0.0,2,0,0,82996.47,0,True,False,False
157,586,False,28,2,0.0,2,1,1,92067.35,0,False,False,True
158,646,False,73,6,97259.25,1,0,1,104719.66,0,True,False,False
159,631,False,33,4,123246.7,1,0,0,112687.57,0,False,True,False
160,717,False,22,6,101060.25,1,0,1,84699.56,0,False,False,True
161,684,True,30,2,0.0,2,1,0,83473.82,0,True,False,False
162,800,False,49,7,108007.36,1,0,0,47125.11,0,True,False,False
163,721,False,36,2,0.0,2,1,1,106977.8,0,False,False,True
164,683,True,29,0,133702.89,1,1,0,55582.54,1,False,False,True
165,660,True,31,9,125189.75,2,1,1,139874.43,0,False,True,False
166,704,False,24,7,113034.22,1,1,0,162503.48,1,False,True,False
167,615,False,41,9,109013.23,1,1,0,196499.96,0,False,False,True
168,667,False,39,2,0.0,2,1,0,40721.24,1,False,False,True
169,682,True,24,9,57929.81,2,0,0,53134.3,0,False,True,False
170,484,False,29,4,130114.39,1,1,0,164017.89,0,True,False,False
171,628,True,27,5,95826.49,2,1,0,155996.96,0,False,True,False
172,480,True,44,10,129608.57,1,1,0,5472.7,1,False,True,False
173,578,True,30,4,169462.09,1,1,0,112187.11,0,True,False,False
174,512,True,40,5,0.0,2,1,1,146457.83,0,True,False,False
175,484,False,35,7,133868.21,1,1,1,27286.1,0,False,False,True
176,510,False,30,0,0.0,2,1,1,130553.47,0,True,False,False
177,606,True,36,5,190479.48,2,0,0,179351.89,0,False,True,False
178,597,False,40,8,101993.12,1,0,1,94774.12,0,False,False,True
179,754,False,55,3,161608.81,1,1,0,8080.85,1,False,True,False
180,850,False,45,2,122311.21,1,1,1,19482.5,0,False,False,True
181,510,True,65,2,0.0,2,1,1,48071.61,0,True,False,False
182,778,False,45,1,162150.42,2,1,0,174531.27,0,False,True,False
183,636,True,42,2,0.0,2,1,1,55470.78,0,True,False,False
184,804,False,50,4,0.0,1,1,1,8546.87,1,True,False,False
185,514,True,32,8,0.0,2,1,0,95857.18,0,True,False,False
186,730,False,39,1,99010.67,1,1,0,194945.8,0,True,False,False
187,525,False,37,0,0.0,1,0,1,131521.72,0,False,False,True
188,616,True,30,5,0.0,2,0,1,196108.51,0,False,False,True
189,687,False,34,7,111388.18,2,1,0,148564.76,0,False,True,False
190,715,False,41,8,56214.85,2,0,0,92982.61,1,True,False,False
191,512,False,36,3,84327.77,2,1,0,17675.36,0,True,False,False
192,479,True,40,1,0.0,2,0,0,114996.43,0,True,False,False
193,601,True,32,8,93012.89,1,1,0,86957.42,0,True,False,False
194,580,True,29,9,61710.44,2,1,0,128077.8,0,False,False,True
195,807,True,35,3,174790.15,1,1,1,600.36,0,True,False,False
196,616,False,32,6,0.0,2,1,1,43001.46,0,False,False,True
197,721,True,37,3,107720.64,1,1,1,158591.12,0,False,True,False
198,501,True,57,10,0.0,2,1,1,47847.19,0,True,False,False
199,521,True,35,6,96423.84,1,1,0,10488.44,0,True,False,False
200,850,True,30,2,141040.01,1,1,1,5978.2,0,False,False,True
201,759,True,42,4,105420.18,1,0,1,121409.06,0,True,False,False
202,516,True,50,5,0.0,1,0,1,146145.93,1,False,False,True
203,711,False,38,2,129022.06,2,1,1,14374.86,1,True,False,False
204,512,True,33,3,176666.62,1,1,0,94670.77,0,False,False,True
205,550,True,37,3,0.0,1,1,1,179670.31,0,True,False,False
206,608,False,41,3,89763.84,1,0,0,199304.74,1,False,False,True
207,618,True,34,5,134954.53,1,1,1,151954.39,0,True,False,False
208,643,True,45,5,0.0,1,1,0,142513.5,1,True,False,False
209,671,True,45,2,106376.85,1,0,1,158264.62,0,True,False,False
210,689,True,33,2,161814.64,2,1,0,169381.9,0,False,True,False
211,603,True,31,8,0.0,2,1,1,169915.02,0,True,False,False
212,620,False,41,9,0.0,2,0,0,88852.47,0,True,False,False
213,676,False,34,1,63095.01,1,1,1,40645.81,0,True,False,False
214,572,True,26,4,118287.01,2,0,0,60427.3,0,False,True,False
215,668,True,47,7,106854.21,1,0,1,157959.02,1,False,True,False
216,695,True,46,7,49512.55,1,1,0,133007.34,0,True,False,False
217,730,False,33,9,0.0,2,0,0,176576.62,0,False,False,True
218,807,True,43,1,105799.32,2,1,0,34888.04,1,True,False,False
219,592,True,54,8,0.0,1,1,1,28737.71,1,True,False,False
220,726,False,31,9,114722.05,2,1,1,98178.57,0,True,False,False
221,514,True,30,7,0.0,1,0,1,125010.24,0,False,False,True
222,567,True,42,2,0.0,2,1,1,167984.61,0,True,False,False
223,850,True,33,10,0.0,1,1,0,4861.72,1,True,False,False
224,671,True,45,6,99564.22,1,1,1,108872.45,1,False,True,False
225,670,True,37,4,170557.91,2,1,0,198252.88,0,True,False,False
226,694,False,30,9,0.0,2,1,1,26960.31,0,True,False,False
227,547,False,39,6,74596.15,3,1,1,85746.52,1,False,True,False
228,751,True,50,2,96888.39,1,1,0,77206.25,1,False,True,False
229,594,False,29,3,130830.22,1,1,0,61048.53,0,False,True,False
230,673,True,72,1,0.0,2,0,1,111981.19,0,True,False,False
231,610,True,40,0,0.0,2,1,0,62232.6,0,True,False,False
232,512,False,37,1,0.0,2,0,1,156105.03,0,True,False,False
233,767,True,20,3,119714.25,2,0,1,150135.38,0,False,True,False
234,585,False,67,5,113978.97,2,0,1,93146.11,0,True,False,False
235,763,True,42,6,100160.75,1,1,0,33462.94,1,False,True,False
236,712,False,29,2,0.0,1,1,1,144375.0,0,True,False,False
237,539,False,43,3,116220.5,3,1,0,55803.96,1,False,True,False
238,668,False,46,2,0.0,3,1,0,89048.46,1,True,False,False
239,703,True,28,2,81173.83,2,0,1,162812.16,0,True,False,False
240,662,True,38,4,0.0,2,1,0,136259.65,0,False,False,True
241,725,False,39,5,116803.8,1,1,0,124052.97,0,False,True,False
242,703,True,37,8,105961.68,2,0,1,74158.8,0,True,False,False
243,659,True,67,6,117411.6,1,1,1,45071.09,1,False,True,False
244,523,True,34,7,0.0,2,1,0,62030.06,0,False,False,True
245,635,False,40,10,123497.58,1,1,0,131953.23,1,True,False,False
246,772,True,26,7,152400.51,2,1,0,79414.0,0,False,True,False
247,545,False,26,1,0.0,2,1,1,199638.56,0,True,False,False
248,634,True,24,8,103097.85,1,1,1,157577.29,0,False,True,False
249,739,True,54,8,126418.14,1,1,0,134420.75,1,False,True,False
250,771,False,36,5,77846.9,1,0,0,99805.99,0,False,True,False
251,587,False,34,1,0.0,2,1,1,97932.68,0,False,False,True
252,681,False,79,0,0.0,2,0,1,170968.99,0,True,False,False
253,544,True,37,2,79731.91,1,1,1,57558.95,0,False,True,False
254,696,True,28,8,0.0,1,0,0,176713.47,0,False,False,True
255,766,True,41,0,0.0,2,0,1,34283.23,0,False,False,True
256,727,True,34,10,0.0,2,1,1,198637.34,0,True,False,False
257,671,False,34,6,37266.67,2,0,0,156917.12,0,False,True,False
258,693,False,30,6,127992.25,1,1,1,50457.2,0,True,False,False
259,850,True,38,3,54901.01,1,1,1,140075.55,0,False,True,False
260,732,True,42,9,108748.08,2,1,1,65323.11,0,False,True,False
261,726,False,48,6,99906.19,1,1,0,64323.24,0,False,False,True
262,557,False,32,6,184686.41,2,1,0,14956.44,0,True,False,False
263,682,False,26,0,110654.02,1,0,1,111879.21,0,True,False,False
264,738,True,31,9,79019.8,1,1,1,18606.23,0,False,False,True
265,531,False,36,9,99240.51,1,1,0,123137.01,0,False,False,True
266,498,True,34,2,0.0,2,1,1,148528.24,0,True,False,False
267,651,True,36,7,0.0,2,1,0,13898.31,0,True,False,False
268,549,False,39,7,0.0,1,0,0,81259.25,1,False,False,True
269,791,False,35,7,52436.2,1,1,0,161051.75,0,False,True,False
270,650,True,41,9,0.0,2,0,1,191599.67,0,False,False,True
271,733,True,34,3,100337.96,3,1,0,48559.19,1,False,True,False
272,811,False,34,1,149297.19,2,1,1,186339.74,0,False,True,False
273,707,True,30,8,0.0,2,1,0,33159.37,0,True,False,False
274,712,True,28,4,145605.44,1,0,1,93883.53,0,False,True,False
275,706,False,37,7,0.0,2,1,1,110899.3,0,False,False,True
276,756,True,62,3,0.0,1,1,1,11199.04,1,True,False,False
277,777,False,53,10,0.0,2,1,0,189992.97,0,True,False,False
278,646,True,35,6,84026.86,1,0,1,164255.69,0,True,False,False
279,714,True,46,1,0.0,1,1,0,152167.79,1,True,False,False
280,782,True,39,8,0.0,2,1,1,33949.67,0,True,False,False
281,775,True,29,10,0.0,2,1,1,68143.93,0,False,False,True
282,479,True,35,4,138718.92,1,1,1,47251.79,1,False,True,False
283,807,True,42,7,118274.71,1,1,1,25885.72,0,True,False,False
284,799,False,22,8,174185.98,2,0,1,192633.85,0,True,False,False
285,675,True,40,7,113208.86,2,1,0,34577.36,0,True,False,False
286,602,True,29,5,103907.28,1,1,0,161229.84,0,False,False,True
287,475,False,32,8,119023.28,1,1,0,100816.29,0,True,False,False
288,744,False,26,5,166297.89,1,1,1,181694.44,0,False,False,True
289,588,True,34,10,0.0,2,1,0,79078.91,0,False,False,True
290,703,True,42,9,63227.0,1,0,1,137316.32,0,False,True,False
291,747,False,41,5,94521.17,2,1,0,194926.86,0,False,False,True
292,583,True,27,7,0.0,2,1,0,51285.49,0,True,False,False
293,750,False,34,9,112822.26,1,0,0,150401.53,1,False,False,True
294,681,True,38,3,0.0,2,1,1,112491.96,0,True,False,False
295,773,True,25,2,135903.33,1,1,0,73656.38,0,True,False,False
296,714,False,31,4,125169.26,1,1,1,106636.89,0,True,False,False
297,687,False,44,7,0.0,3,1,0,155853.52,1,False,False,True
298,511,True,58,0,149117.31,1,1,1,162599.51,0,True,False,False
299,627,True,33,5,0.0,2,1,1,103737.82,0,True,False,False
300,694,False,31,10,0.0,2,1,0,160990.27,0,True,False,False
301,616,False,36,6,132311.71,1,0,0,15462.84,0,False,False,True
302,687,True,35,8,0.0,2,1,0,10334.05,0,True,False,False
303,712,False,33,6,0.0,2,1,1,190686.16,0,True,False,False
304,553,True,33,4,118082.89,1,0,0,94440.45,0,True,False,False
305,667,True,31,1,119266.69,1,1,1,28257.63,0,True,False,False
306,731,True,43,2,0.0,1,1,1,170034.95,1,True,False,False
307,629,True,35,7,156847.29,2,1,0,31824.29,0,False,True,False
308,614,True,50,4,137104.47,1,1,0,127166.49,1,True,False,False
309,438,True,31,8,78398.69,1,1,0,44937.01,0,False,True,False
310,652,False,80,4,0.0,2,1,1,188603.07,0,True,False,False
311,729,True,30,6,63669.42,1,1,0,145111.37,0,False,True,False
312,642,True,38,3,0.0,2,0,0,171463.83,0,True,False,False
313,806,False,59,0,135296.33,1,1,0,182822.5,0,False,True,False
314,744,True,36,2,153804.44,1,1,1,87213.33,0,False,False,True
315,474,True,37,3,0.0,2,0,0,57175.32,0,False,False,True
316,559,True,49,2,147069.78,1,1,0,120540.83,1,True,False,False
317,706,True,42,9,0.0,2,1,1,28714.34,0,False,False,True
318,628,False,22,3,0.0,1,1,0,85426.28,0,False,False,True
319,429,True,24,4,95741.75,1,1,0,46170.75,0,True,False,False
320,525,False,57,2,145965.33,1,1,1,64448.36,0,False,False,True
321,680,False,30,8,141441.75,1,1,1,16278.97,0,True,False,False
322,749,True,40,1,139290.41,1,1,0,182855.42,1,True,False,False
323,763,False,31,4,0.0,2,0,0,50404.72,0,True,False,False
324,734,True,30,3,0.0,2,1,0,107640.25,0,True,False,False
325,716,True,35,4,144428.87,1,1,0,134132.65,0,True,False,False
326,594,True,35,2,0.0,2,1,0,103480.69,0,True,False,False
327,644,False,46,9,95441.27,1,1,0,108761.05,1,True,False,False
328,671,True,35,1,144848.74,1,1,1,179012.3,0,False,True,False
329,664,True,26,7,116244.14,2,1,1,95145.14,0,False,True,False
330,656,True,50,7,0.0,2,0,1,72143.44,0,True,False,False
331,667,False,40,1,146502.07,1,1,0,19162.89,0,False,False,True
332,663,True,44,2,117028.6,2,0,1,144680.18,0,False,True,False
333,584,False,30,8,112013.81,1,1,0,177772.03,1,False,True,False
334,626,False,37,6,108269.37,1,1,0,5597.94,0,False,False,True
335,485,True,29,7,182123.79,1,1,0,116828.51,1,True,False,False
336,659,False,32,3,150923.74,2,0,1,174652.51,0,False,True,False
337,649,True,33,2,0.0,2,1,0,2010.98,0,True,False,False
338,805,False,39,5,165272.13,1,1,0,14109.85,1,False,False,True
339,716,False,39,10,115301.31,1,1,0,43527.4,1,False,True,False
340,642,False,40,6,129502.49,2,0,1,86099.23,1,False,True,False
341,659,True,31,4,118342.26,1,0,0,161574.19,0,True,False,False
342,545,False,47,5,0.0,2,1,1,38970.14,0,False,False,True
343,543,True,22,8,0.0,2,0,0,127587.22,0,True,False,False
344,718,False,25,7,0.0,2,1,0,30380.12,0,True,False,False
345,840,False,43,7,0.0,2,1,0,90908.95,0,True,False,False
346,630,False,34,9,106937.05,2,1,0,138275.01,0,False,True,False
347,643,True,59,3,170331.37,1,1,1,32171.79,0,False,True,False
348,654,False,32,1,114510.85,1,1,1,126143.23,0,False,True,False
349,582,True,39,5,0.0,2,1,1,129892.93,0,True,False,False
350,659,True,32,3,107594.11,2,1,1,102416.84,0,False,False,True
351,762,True,39,2,81273.13,1,1,1,18719.67,0,False,False,True
352,568,False,32,7,169399.6,1,1,0,61936.22,0,False,False,True
353,670,True,25,6,0.0,2,1,1,78358.94,0,False,False,True
354,613,False,45,1,187841.99,2,1,1,147224.27,0,True,False,False
355,539,True,30,0,0.0,2,1,0,160979.66,0,True,False,False
356,850,False,57,8,126776.3,2,1,1,132298.49,0,False,False,True
357,522,True,34,9,126436.29,1,1,0,174248.52,1,False,False,True
358,737,True,41,1,101960.74,1,1,1,123547.28,0,True,False,False
359,520,True,58,3,0.0,2,0,1,32790.02,0,True,False,False
360,706,True,28,3,0.0,2,0,1,181543.67,0,False,False,True
361,643,False,45,2,150842.93,1,0,1,2319.96,1,False,True,False
362,648,False,50,9,102535.57,1,1,1,189543.19,0,True,False,False
363,443,False,29,9,99027.61,2,1,0,10940.4,0,False,True,False
364,640,True,68,9,0.0,2,1,1,199493.38,0,True,False,False
365,628,False,33,3,0.0,1,1,1,188193.25,0,False,False,True
366,540,False,42,9,87271.41,2,1,0,172572.64,0,False,True,False
367,460,False,35,8,102742.91,2,1,1,189339.6,0,False,True,False
368,636,True,34,2,40105.51,2,0,1,53512.16,0,False,True,False
369,593,False,29,2,152265.43,1,1,0,34004.44,0,True,False,False
370,801,True,42,4,141947.67,1,1,1,10598.29,0,False,False,True
371,640,False,75,1,106307.91,2,0,1,113428.77,0,False,True,False
372,611,True,31,0,107884.81,2,1,1,183487.98,0,False,True,False
373,802,True,31,1,125013.72,1,1,1,187658.09,0,False,True,False
374,717,True,35,7,58469.37,2,1,1,172459.39,0,False,True,False
375,769,False,39,8,0.0,1,0,1,21016.0,0,True,False,False
376,745,True,45,10,117231.63,3,1,1,122381.02,1,False,True,False
377,572,True,35,4,152390.26,1,1,0,128123.66,0,False,False,True
378,629,False,30,2,34013.63,1,1,0,19570.63,0,False,False,True
379,687,False,39,2,0.0,3,0,0,188150.6,1,False,False,True
380,483,False,50,9,0.0,2,1,1,111020.24,0,True,False,False
381,690,True,36,7,101583.11,2,1,0,123775.15,0,True,False,False
382,492,False,30,10,77168.87,2,0,1,146700.22,0,False,True,False
383,709,True,28,8,124695.72,2,1,0,145251.35,0,False,True,False
384,705,True,44,3,105934.96,1,1,0,82463.69,0,False,True,False
385,560,False,66,9,0.0,1,1,1,15928.49,0,True,False,False
386,611,True,46,6,0.0,2,1,0,45886.33,0,False,False,True
387,730,True,62,2,0.0,2,1,1,186489.95,0,False,False,True
388,709,False,45,2,0.0,2,0,1,162922.65,0,False,False,True
389,544,False,21,10,161525.96,2,1,0,9262.77,0,True,False,False
390,712,False,29,7,147199.07,1,1,1,84932.4,0,False,True,False
391,752,True,38,3,183102.29,1,1,1,71557.12,0,False,True,False
392,648,True,46,9,127209.0,2,1,0,77405.95,1,False,False,True
393,556,True,38,8,0.0,2,0,0,417.41,1,False,False,True
394,594,False,24,0,97378.54,1,1,1,71405.17,0,False,False,True
395,645,False,37,2,136925.09,2,0,1,153400.24,0,False,True,False
396,557,True,33,3,54503.55,1,1,1,371.05,0,True,False,False
397,547,True,32,8,155726.85,1,1,0,67789.99,0,False,True,False
398,701,False,39,9,0.0,2,0,1,145894.9,0,True,False,False
399,616,False,66,1,135842.41,1,1,0,183840.51,1,True,False,False
400,605,True,52,1,63349.75,1,1,0,108887.44,0,True,False,False
401,593,False,38,4,129499.42,1,1,1,154071.27,0,False,True,False
402,751,True,52,8,0.0,2,0,1,179291.85,0,False,False,True
403,443,True,36,6,70438.01,2,0,1,56937.43,0,False,False,True
404,685,True,23,8,0.0,2,1,1,112239.03,0,True,False,False
405,718,True,36,9,0.0,1,1,0,45909.87,0,True,False,False
406,538,False,49,9,141434.04,1,0,0,173779.25,1,False,False,True
407,611,False,37,4,0.0,2,1,0,125696.26,0,False,False,True
408,668,True,37,10,152958.29,2,1,1,159585.61,0,False,True,False
409,537,False,41,3,138306.34,1,1,0,106761.47,0,False,True,False
410,709,True,23,10,0.0,2,0,0,129590.18,0,False,False,True
411,850,True,38,1,0.0,2,1,1,80006.65,0,True,False,False
